@relation accelerometer_features

@attribute fft_coef_0000 numeric
@attribute fft_coef_0001 numeric
@attribute fft_coef_0002 numeric
@attribute fft_coef_0003 numeric
@attribute fft_coef_0004 numeric
@attribute fft_coef_0005 numeric
@attribute fft_coef_0006 numeric
@attribute fft_coef_0007 numeric
@attribute fft_coef_0008 numeric
@attribute fft_coef_0009 numeric
@attribute fft_coef_0010 numeric
@attribute fft_coef_0011 numeric
@attribute fft_coef_0012 numeric
@attribute fft_coef_0013 numeric
@attribute fft_coef_0014 numeric
@attribute fft_coef_0015 numeric
@attribute fft_coef_0016 numeric
@attribute fft_coef_0017 numeric
@attribute fft_coef_0018 numeric
@attribute fft_coef_0019 numeric
@attribute fft_coef_0020 numeric
@attribute fft_coef_0021 numeric
@attribute fft_coef_0022 numeric
@attribute fft_coef_0023 numeric
@attribute fft_coef_0024 numeric
@attribute fft_coef_0025 numeric
@attribute fft_coef_0026 numeric
@attribute fft_coef_0027 numeric
@attribute fft_coef_0028 numeric
@attribute fft_coef_0029 numeric
@attribute fft_coef_0030 numeric
@attribute fft_coef_0031 numeric
@attribute fft_coef_0032 numeric
@attribute fft_coef_0033 numeric
@attribute fft_coef_0034 numeric
@attribute fft_coef_0035 numeric
@attribute fft_coef_0036 numeric
@attribute fft_coef_0037 numeric
@attribute fft_coef_0038 numeric
@attribute fft_coef_0039 numeric
@attribute fft_coef_0040 numeric
@attribute fft_coef_0041 numeric
@attribute fft_coef_0042 numeric
@attribute fft_coef_0043 numeric
@attribute fft_coef_0044 numeric
@attribute fft_coef_0045 numeric
@attribute fft_coef_0046 numeric
@attribute fft_coef_0047 numeric
@attribute fft_coef_0048 numeric
@attribute fft_coef_0049 numeric
@attribute fft_coef_0050 numeric
@attribute fft_coef_0051 numeric
@attribute fft_coef_0052 numeric
@attribute fft_coef_0053 numeric
@attribute fft_coef_0054 numeric
@attribute fft_coef_0055 numeric
@attribute fft_coef_0056 numeric
@attribute fft_coef_0057 numeric
@attribute fft_coef_0058 numeric
@attribute fft_coef_0059 numeric
@attribute fft_coef_0060 numeric
@attribute fft_coef_0061 numeric
@attribute fft_coef_0062 numeric
@attribute fft_coef_0063 numeric
@attribute max numeric
@attribute label {standing,walking,running,others}

@data
38.755174,4.707241,1.923105,0.98194,0.427451,2.6249,1.76612,2.018891,1.216842,0.367939,0.999899,0.133992,0.532045,0.673295,0.370964,0.315476,0.231812,0.373307,0.397679,0.465708,0.16982,0.259698,0.524867,0.26969,0.35896,0.437194,0.074902,0.364398,0.427581,0.259769,0.335296,0.281606,0.753421,0.281606,0.335296,0.259769,0.427581,0.364398,0.074902,0.437194,0.35896,0.26969,0.524867,0.259698,0.16982,0.465708,0.397679,0.373307,0.231812,0.315476,0.370964,0.673295,0.532045,0.133992,0.999899,0.367939,1.216842,2.018891,1.76612,2.6249,0.427451,0.98194,1.923105,4.707241,0.857236,standing
39.62777,5.012024,2.173766,3.376584,2.230992,1.901774,1.920726,1.104765,0.914414,1.277155,0.278394,0.081988,1.045522,0.883804,1.01556,1.007606,0.554529,0.572076,0.852251,0.779423,1.021211,0.632228,0.257945,0.079871,0.499057,0.649822,0.51929,0.392703,0.180281,0.089114,0.140417,0.046325,0.036248,0.046325,0.140417,0.089114,0.180281,0.392703,0.51929,0.649822,0.499057,0.079871,0.257945,0.632228,1.021211,0.779423,0.852251,0.572076,0.554529,1.007606,1.01556,0.883804,1.045522,0.081988,0.278394,1.277155,0.914414,1.104765,1.920726,1.901774,2.230992,3.376584,2.173766,5.012024,0.985512,standing
60.07449,6.269916,11.781899,15.117374,2.751667,7.896029,6.36838,1.989547,1.089885,2.32378,1.481497,1.711135,2.094285,0.971699,1.639679,0.864188,1.526136,0.834856,0.83017,1.010978,0.932232,0.51327,0.364882,0.379727,0.274356,0.418113,0.685439,0.954828,0.788322,0.781368,0.916052,0.564779,0.600242,0.564779,0.916052,0.781368,0.788322,0.954828,0.685439,0.418113,0.274356,0.379727,0.364882,0.51327,0.932232,1.010978,0.83017,0.834856,1.526136,0.864188,1.639679,0.971699,2.094285,1.711135,1.481497,2.32378,1.089885,1.989547,6.36838,7.896029,2.751667,15.117374,11.781899,6.269916,2.97241,standing
165.277453,42.438088,14.902934,14.661463,18.459401,7.999753,9.390958,19.274831,4.631338,8.963875,9.984045,3.589715,7.923674,8.353914,5.127158,4.99136,8.959982,7.737548,4.591052,7.087025,8.071305,3.575836,5.602618,6.865036,4.021599,5.033783,6.119064,4.008354,3.927939,5.647,3.815448,3.885767,5.989858,3.885767,3.815448,5.647,3.927939,4.008354,6.119064,5.033783,4.021599,6.865036,5.602618,3.575836,8.071305,7.087025,4.591052,7.737548,8.959982,4.99136,5.127158,8.353914,7.923674,3.589715,9.984045,8.963875,4.631338,19.274831,9.390958,7.999753,18.459401,14.661463,14.902934,42.438088,8.805889,standing
415.314738,71.623564,75.792284,25.785329,17.061416,20.495742,9.148639,5.024669,3.146823,5.580505,4.529703,4.159403,2.72499,3.646268,3.835598,3.349149,3.983177,3.624621,3.565469,3.811142,3.583071,3.571329,3.628322,3.224372,3.311279,3.205111,3.029357,2.973286,2.913735,2.961312,2.852269,2.859816,2.805217,2.859816,2.852269,2.961312,2.913735,2.973286,3.029357,3.205111,3.311279,3.224372,3.628322,3.571329,3.583071,3.811142,3.565469,3.624621,3.983177,3.349149,3.835598,3.646268,2.72499,4.159403,4.529703,5.580505,3.146823,5.024669,9.148639,20.495742,17.061416,25.785329,75.792284,71.623564,10.131876,standing
282.710869,45.097272,25.305864,39.872919,37.314653,10.853038,12.179362,8.591469,3.781418,2.498175,2.136502,2.911729,1.580335,1.010407,1.629665,1.561364,0.604329,1.330418,0.79065,0.882903,0.595181,0.13094,1.126034,0.153294,0.527299,0.263575,0.284394,0.059062,0.554493,0.295666,0.416625,0.028499,0.200165,0.028499,0.416625,0.295666,0.554493,0.059062,0.284394,0.263575,0.527299,0.153294,1.126034,0.13094,0.595181,0.882903,0.79065,1.330418,0.604329,1.561364,1.629665,1.010407,1.580335,2.911729,2.136502,2.498175,3.781418,8.591469,12.179362,10.853038,37.314653,39.872919,25.305864,45.097272,9.527111,standing
249.517432,15.396109,46.742828,21.85025,36.335333,21.459023,21.524762,20.53941,7.272911,10.325768,6.216834,3.169485,3.497508,4.48403,3.550334,1.324806,3.583625,1.321308,1.965974,1.74118,1.188203,1.697978,0.413001,0.740976,2.209205,1.226056,1.208279,0.758439,1.93709,0.881564,1.634023,0.181491,1.426047,0.181491,1.634023,0.881564,1.93709,0.758439,1.208279,1.226056,2.209205,0.740976,0.413001,1.697978,1.188203,1.74118,1.965974,1.321308,3.583625,1.324806,3.550334,4.48403,3.497508,3.169485,6.216834,10.325768,7.272911,20.53941,21.524762,21.459023,36.335333,21.85025,46.742828,15.396109,7.69345,standing
178.002875,14.406377,53.23452,13.734069,8.597464,9.970518,4.985179,14.126237,18.881806,15.778097,11.385553,14.270324,14.422254,10.897694,10.244263,6.885985,7.810096,7.648262,4.298337,4.758091,5.089277,3.507762,4.358036,3.420275,2.030355,3.123488,2.361787,2.005176,2.461091,2.195226,2.566424,2.479753,1.947029,2.479753,2.566424,2.195226,2.461091,2.005176,2.361787,3.123488,2.030355,3.420275,4.358036,3.507762,5.089277,4.758091,4.298337,7.648262,7.810096,6.885985,10.244263,10.897694,14.422254,14.270324,11.385553,15.778097,18.881806,14.126237,4.985179,9.970518,8.597464,13.734069,53.23452,14.406377,9.602721,standing
237.076946,57.656741,28.326319,43.150202,25.577282,26.050915,24.903816,25.79129,25.287679,24.51462,5.572899,2.136671,4.366328,12.391216,11.752754,8.460438,7.929451,7.088361,5.479988,3.274678,2.794391,3.290344,3.285407,2.366611,2.256755,3.019363,2.949977,2.780218,2.365065,1.886672,1.820755,0.848397,0.424092,0.848397,1.820755,1.886672,2.365065,2.780218,2.949977,3.019363,2.256755,2.366611,3.285407,3.290344,2.794391,3.274678,5.479988,7.088361,7.929451,8.460438,11.752754,12.391216,4.366328,2.136671,5.572899,24.51462,25.287679,25.79129,24.903816,26.050915,25.577282,43.150202,28.326319,57.656741,9.71925,standing
650.305186,224.937118,125.294322,113.117344,113.974338,32.66056,32.956667,35.014131,14.824424,23.199329,9.842071,3.585953,15.426554,13.426789,10.007175,7.183429,7.109126,1.446792,7.644454,2.527835,2.093346,5.493305,2.46298,3.718227,2.061046,2.384396,2.173752,2.967499,1.461622,1.378589,2.287144,1.308714,2.536071,1.308714,2.287144,1.378589,1.461622,2.967499,2.173752,2.384396,2.061046,3.718227,2.46298,5.493305,2.093346,2.527835,7.644454,1.446792,7.109126,7.183429,10.007175,13.426789,15.426554,3.585953,9.842071,23.199329,14.824424,35.014131,32.956667,32.66056,113.974338,113.117344,125.294322,224.937118,26.556685,standing
